,name,cate_1,cate_2,cate_3,dong,lon,lat,cate_mix,naver_keyword,naver_map_url,naver_store_type,naver_star_point,visitor_review,naver_blog_review_qty,office_review
138812,사까에&르소메,양식,정통양식/경양식,서양식 음식점업,중동,35.16023747,129.165299,양식정통양식 경양식서양식 음식점업,중동%20사까에&르소메,https://m.place.naver.com/restaurant/13572480,일식당,4.38,49,297,0
120232,깔끔이대구탕,일식/수산물,매운탕전문,한식 음식점업,중동,35.16270745,129.1652793,일식 수산물매운탕전문한식 음식점업,중동%20깔끔이대구탕,https://m.place.naver.com/restaurant/1172625176,"매운탕,해물탕",4.4,137,3,0
141916,애기족발,한식,족발/보쌈전문,한식 음식점업,중동,35.16967605,129.1707905,한식족발 보쌈전문한식 음식점업,중동%20애기족발,https://m.place.naver.com/restaurant/1545705004,"족발,보쌈",4.53,16,3,0
50818,착한전복전문점,한식,한식/백반/한정식,한식 음식점업,중동,35.17103533,129.1728409,한식한식 백반 한정식한식 음식점업,중동%20착한전복전문점,https://m.place.naver.com/restaurant/1075173262,전복요리,4.25,21,3,0
111333,아궁이식당,한식,한식/백반/한정식,한식 음식점업,중동,35.16240482,129.1630029,한식한식 백반 한정식한식 음식점업,중동%20아궁이식당,https://m.place.naver.com/restaurant/1079171753,한식,4.43,37,3,0
69047,김밥천국,분식,라면김밥분식,분식 및 김밥 전문점,중동,35.16618936,129.1687538,분식라면김밥분식분식 및 김밥 전문점,중동%20김밥천국,https://m.place.naver.com/restaurant/18806295,분식,4.23,522,3,0
43829,베스킨라빈스,커피점/카페,커피전문점/카페/다방,비알콜 음료점업,중동,35.1625554,129.1632795,커피점 카페커피전문점 카페 다방비알콜 음료점업,중동%20베스킨라빈스,https://m.place.naver.com/restaurant/37816270,아이스크림,4.47,611,3,0
72393,배스킨라빈스31,패스트푸드,아이스크림판매,제과점업,중동,35.16633569,129.1704024,패스트푸드아이스크림판매제과점업,중동%20배스킨라빈스31,https://m.place.naver.com/restaurant/37816270,아이스크림,4.47,611,3,0
87017,배스킨라빈스31,패스트푸드,아이스크림판매,제과점업,중동,35.16604015,129.1674015,패스트푸드아이스크림판매제과점업,중동%20배스킨라빈스31,https://m.place.naver.com/restaurant/37816270,아이스크림,4.47,611,3,0
120365,배스킨라빈스,패스트푸드,아이스크림판매,제과점업,중동,35.16604015,129.1674015,패스트푸드아이스크림판매제과점업,중동%20배스킨라빈스,https://m.place.naver.com/restaurant/37816270,아이스크림,4.47,611,3,0
25026,홍짜장,중식,중국음식/중국집,중식 음식점업,중동,35.16252761,129.161479,중식중국음식 중국집중식 음식점업,중동%20홍짜장,https://m.place.naver.com/restaurant/1511819309,중식당,4.43,73,3,0
44600,큐,유흥주점,관광/유흥주점,일반유흥 주점업,중동,35.16177503,129.1656941,유흥주점관광 유흥주점일반유흥 주점업,중동%20큐,https://m.place.naver.com/restaurant/20343889,"자동차정비,수리",4.08,97,3,0
148778,삼환축산,한식,기타고기요리,한식 음식점업,중동,35.16436946,129.1686619,한식기타고기요리한식 음식점업,중동%20삼환축산,https://m.place.naver.com/restaurant/1238516524,"육류,고기요리",4.48,286,30,0
121717,조선닭볶음탕,한식,한식/백반/한정식,한식 음식점업,중동,35.16297725,129.173746,한식한식 백반 한정식한식 음식점업,중동%20조선닭볶음탕,https://m.place.naver.com/restaurant/1939701107,닭볶음탕,4.38,64,30,0
96446,해주면옥,한식,냉면집,한식 음식점업,중동,35.16271399,129.1645989,한식냉면집한식 음식점업,중동%20해주면옥,https://m.place.naver.com/restaurant/16579420,한식,4.41,713,302,0
150308,미포씨와,유흥주점,기타일반유흥주점,일반유흥 주점업,중동,35.15747738,129.1729645,유흥주점기타일반유흥주점일반유흥 주점업,중동%20미포씨와,https://m.place.naver.com/restaurant/1267337469,와인,3.99,413,303,0
118141,치타,한식,한식/백반/한정식,한식 음식점업,중동,35.16443106,129.1818237,한식한식 백반 한정식한식 음식점업,중동%20치타,https://m.place.naver.com/restaurant/1746129761,"카페,디저트",4.56,377,306,0
104514,블랙업커피,커피점/카페,커피전문점/카페/다방,비알콜 음료점업,중동,35.16344432,129.1645764,커피점 카페커피전문점 카페 다방비알콜 음료점업,중동%20블랙업커피,https://m.place.naver.com/restaurant/38232927,"카페,디저트",4.56,854,306,0
145108,블랙업커피,커피점/카페,커피전문점/카페/다방,비알콜 음료점업,중동,35.16134685,129.1680369,커피점 카페커피전문점 카페 다방비알콜 음료점업,중동%20블랙업커피,https://m.place.naver.com/restaurant/38232927,"카페,디저트",4.56,854,306,0
135874,모어댄,커피점/카페,커피전문점/카페/다방,비알콜 음료점업,중동,35.16210013,129.1749627,커피점 카페커피전문점 카페 다방비알콜 음료점업,중동%20모어댄,https://m.place.naver.com/restaurant/1245455979,"카페,디저트",4.51,117,31,0
115019,털보횟집,일식/수산물,횟집,한식 음식점업,중동,35.16741844,129.1758735,일식 수산물횟집한식 음식점업,중동%20털보횟집,https://m.place.naver.com/restaurant/338852456,생선회,4.45,132,32,0
